id,serial_number,tax_type,incentive _category,incentive _subcategory,incentive_items,qualification,incentive_method,incentive_name,detailed_rules,detailed_terms,keywords,legal_basis,special_notes,explanation,effective_date,expiry_date,applicable_region,policy_status,industry_scope,enterprise_type,discount_rate,application_process,required_documents,data_source,data_quality,last_verified_date,created_at,updated_at,tags
653,653,城镇土地使用税,改善民生,医疗卫生,为社区提供养老、托育、家政等服务,,免征,社区养老、托育、家政机构免征房产税,自2019年6月1日至2025年12月31日，为社区提供养老、托育、家政等服务的机构自有或其通过承租、无偿使用等方式取得并用于提供社区养老、托育、家政服务的房产、土地，免征城镇土地使用税。,第二条,免税 优惠 为社区提供养老、托育、家政等服务 城镇土地使用税 免征,《关于养老、托育、家政等社区家庭服务业税费优惠政策的公告》（财政部 税务总局 发展改革委 民政部 商务部 卫生健康委公告2019年第76号）,,所称“社区”是指聚居在一定地域范围内的人们所组成的社会生活共同体，包括城市社区和农村社区。为社区提供养老服务的机构，是指在社区依托固定场所设施，采取全托、日托、上门等方式，为社区居民提供养老服务的企业、事业单位和社会组织。社区养老服务是指为老年人提供的生活照料、康复护理、助餐助行、紧急救援、精神慰藉等服务。为社区提供托育服务的机构，是指在社区依托固定场所设施，采取全日托、半日托、计时托、临时托等方式，为社区居民提供托育服务的企业、事业单位和社会组织。社区托育服务是指为3周岁（含）以下婴幼儿提供的照料、看护、膳食、保育等服务。为社区提供家政服务的机构，是指以家庭为服务对象，为社区居民提供家政服务的企业、事业单位和社会组织。社区家政服务是指进入家庭成员住所或医疗机构为孕产妇、婴幼儿、老人、病人、残疾人提供的照护服务，以及进入家庭成员住所提供的保洁、烹饪等服务。 ,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
654,654,城镇土地使用税,支持其他各项事业,其他,国家储备商品,,免征,国家储备商品城镇土地使用税免征优惠,自2022年1月1日至2027年12月31日，对商品储备管理公司及其直属库自用的承担商品储备业务的土地免征城镇土地使用税。,,免税 优惠 国家储备商品 城镇土地使用税 免征,1、《关于延续执行部分国家商品储备税收优惠政策的公告》（财政部 税务总局公告2022年第8号）2、《关于继续实施部分国家商品储备税收优惠政策的公告》（财政部 税务总局公告2023年第48号）,,所称商品储备管理公司及其直属库，是指接受县级以上人民政府有关部门委托，承担粮（含大豆）、食用油、棉、糖、肉5种商品储备任务，取得财政储备经费或者补贴的商品储备企业。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
655,655,城镇土地使用税,支持其他各项事业,其他,大型客机研制项目,,免征,大型客机研制项目城镇土地使用税免征优惠,自2019年1月1日起至2023年12月31日止，对从事大型客机研制项目的纳税人及其全资子公司自用的科研、生产、办公土地免征城镇土地使用税。,,免税 优惠 城镇土地使用税 大型客机研制项目 免征,1、《财政部、国家税务总局关于民用航空发动机、新支线飞机和大型客机税收政策的公告》（财政部 税务总局公告2019年第88号）2、《关于延长部分税收优惠政策执行期限的公告》（财政部 税务总局公告2021年第6号）,纳税人享受规定的免征城镇土地使用税应按规定进行免税申报，并将不动产权属、房产原值、土地用途等资料留存备查。纳税人已缴纳的根据规定应予减免的税款，从其应纳的相应税款中抵扣或者予以退税。,所称大型客机，指民用客机的整机，具体标准如下：大型客机，是指空载重量大于45吨的民用客机。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
656,656,城镇土地使用税,改善民生,住房,易地扶贫搬迁,,免征,易地扶贫搬迁城镇土地使用税免征优惠,自2018年1月1日至2025年12月31日，对安置住房用地，免征城镇土地使用税。,,免税 优惠 城镇土地使用税 易地扶贫搬迁 免征,1、《财政部、国家税务总局关于易地扶贫搬迁税收优惠政策的通知》（财税〔2018〕135号）2、《关于延长部分税收优惠政策执行期限的公告》（财政部 税务总局公告2021年第6号）,,易地扶贫搬迁项目、项目实施主体、易地扶贫搬迁贫困人口、相关安置住房等信息由易地扶贫搬迁工作主管部门确定。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
657,657,城镇土地使用税,改善民生,农村建设,易地扶贫搬迁,,免征,易地扶贫搬迁城镇土地使用税免征优惠,自2018年1月1日至2025年12月31日，在商品住房等开发项目中配套建设安置住房的，按安置住房建筑面积占总建筑面积的比例，计算应予免征的安置住房用地相关的城镇土地使用税。,,免税 优惠 城镇土地使用税 易地扶贫搬迁 免征,1、《财政部、国家税务总局关于易地扶贫搬迁税收优惠政策的通知》（财税〔2018〕135号）2、《关于延长部分税收优惠政策执行期限的公告》（财政部 税务总局公告2021年第6号）,,易地扶贫搬迁项目、项目实施主体、易地扶贫搬迁贫困人口、相关安置住房等信息由易地扶贫搬迁工作主管部门确定。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
658,658,增值税,改善民生,提高居民收入,鲜活肉蛋产品免征增值税优惠,,免征,鲜活肉蛋产品免征增值税优惠,,,改善民生 增值税 鲜活肉蛋产品免征增值税优惠,《财政部 国家税务总局关于免征部分鲜活肉蛋产品流通环节增值税政策的通知》 财税〔2012〕75号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
659,659,增值税,改善民生,提高居民收入,蔬菜免征增值税优惠,,免征,蔬菜免征增值税优惠,,,改善民生 增值税 蔬菜免征增值税优惠,《财政部 国家税务总局关于免征蔬菜流通环节增值税有关问题的通知》 财税〔2011〕137号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
660,660,增值税,改善民生,救灾及重建,救灾救济粮免征增值税优惠,,免征,救灾救济粮免征增值税优惠,,第二条第（二）项,改善民生 增值税 救灾救济粮免征增值税优惠,《财政部 国家税务总局关于粮食企业增值税征免问题的通知》 财税字〔1999〕198号；关联条款：《国家税务总局关于退耕还林还草补助粮免征增值税问题的通知》 国税发〔2001〕131号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
661,661,增值税,改善民生,救灾及重建,小规模纳税人减按1%征收率征收增值税,,减征,小规模纳税人减按1%征收率征收增值税,,第二条,改善民生 增值税 小规模纳税人减按1%征收率征收增值税,《财政部 税务总局关于增值税小规模纳税人减免增值税政策的公告》 财政部 税务总局公告2023年第19号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
662,662,增值税,改善民生,住房,个人销售自建自用住房免征增值税优惠,,免征,个人销售自建自用住房免征增值税优惠,,附件3第一条第（十五）款,改善民生 增值税 个人销售自建自用住房免征增值税优惠,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
663,663,增值税,改善民生,住房,为了配合国家住房制度改革，企业、行政事业单位按房改成本价、标准价出售住房取得的收入免征增值税优惠,,免征,为了配合国家住房制度改革，企业、行政事业单位按房改成本价、标准价出售住房取得的收入免征增值税优惠,,附件3第一条第（三十四）款,改善民生 增值税 为了配合国家住房制度改革，企业、行政事业单位按房改成本价、标准价出售住房取得的收入免征增值税优惠,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
664,664,增值税,改善民生,住房,个人将购买2年以上（含2年）的住房对外销售免征增值税优惠,,免征,个人将购买2年以上（含2年）的住房对外销售免征增值税优惠,,,改善民生 增值税 个人将购买2年以上（含2年）的住房对外销售免征增值税优惠,《财政部 税务总局关于个人销售住房增值税政策的公告》  财政部 税务总局公告2025年第17号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
665,665,增值税,改善民生,住房,公共租赁住房经营管理单位出租公共租赁住房免征增值税优惠,,免征,公共租赁住房经营管理单位出租公共租赁住房免征增值税优惠,,第七条,改善民生 公共租赁住房经营管理单位出租公共租赁住房免征增值税优惠 增值税,《财政部 税务总局关于延续实施公共租赁住房税收优惠政策的公告》 财政部 税务总局公告2026年第4号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
666,666,增值税,改善民生,住房,个人出租住房应按照3%的征收率减按1.5%计算应纳增值税,,减征,个人出租住房应按照3%的征收率减按1.5%计算应纳增值税,,,改善民生 增值税 个人出租住房应按照3%的征收率减按1.5%计算应纳增值税,《中华人民共和国增值税法》及相关配套文件,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
667,667,增值税,改善民生,住房,对住房租赁企业（小规模纳税人）适用简易计税方法的，按照3%的征收率减按1.5%征收增值税,,减征,对住房租赁企业（小规模纳税人）适用简易计税方法的，按照3%的征收率减按1.5%征收增值税,,,改善民生 对住房租赁企业（小规模纳税人）适用简易计税方法的，按照3%的征收率减按1.5%征收增值税 增值税,《中华人民共和国增值税法》及相关配套文件,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
668,668,增值税,改善民生,住房,对住房租赁企业（一般纳税人）适用简易计税方法的，按照5%的征收率减按1.5%征收增值税,,减征,对住房租赁企业（一般纳税人）适用简易计税方法的，按照5%的征收率减按1.5%征收增值税,,,改善民生 增值税 对住房租赁企业（一般纳税人）适用简易计税方法的，按照5%的征收率减按1.5%征收增值税,《中华人民共和国增值税法》及相关配套文件,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
669,669,增值税,改善民生,军转择业,随军家属从事个体经营免征增值税优惠,,免征,随军家属从事个体经营免征增值税优惠,,附件3第一条第（三十九）款第2项,改善民生 随军家属从事个体经营免征增值税优惠 增值税,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
670,670,增值税,改善民生,军转择业,军转干部从事个体经营免征增值税优惠,,免征,军转干部从事个体经营免征增值税优惠,,附件3第一条第（四十）款第1项,改善民生 增值税 军转干部从事个体经营免征增值税优惠,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
671,671,增值税,改善民生,军转择业,企业安置随军家属免征增值税优惠,,免征,企业安置随军家属免征增值税优惠,,附件3第一条第（三十九）款第1项,改善民生 企业安置随军家属免征增值税优惠 增值税,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
672,672,增值税,改善民生,军转择业,企业安置军转干部免征增值税优惠,,免征,企业安置军转干部免征增值税优惠,,附件3第一条第（四十）款第2项,改善民生 增值税 企业安置军转干部免征增值税优惠,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
673,673,增值税,改善民生,军转择业,退役士兵从事个体经营扣减增值税优惠,,免征,退役士兵从事个体经营扣减增值税优惠,,第一条,改善民生 退役士兵从事个体经营扣减增值税优惠 增值税,《财政部 税务总局 退役军人事务部关于进一步扶持自主就业退役士兵创业就业有关税收政策的公告》 财政部 税务总局 退役军人事务部公告2023年第14号；关联条款：《财政部 税务总局关于延长部分税收优惠政策执行期限的公告》  财政部 税务总局公告2022年第4号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
674,674,增值税,改善民生,军转择业,企业招用退役士兵扣减增值税优惠,,免征,企业招用退役士兵扣减增值税优惠,,第二条,改善民生 增值税 企业招用退役士兵扣减增值税优惠,《财政部 税务总局 退役军人事务部关于进一步扶持自主就业退役士兵创业就业有关税收政策的公告》 财政部 税务总局 退役军人事务部公告2023年第14号；关联条款：《财政部 税务总局关于延长部分税收优惠政策执行期限的公告》  财政部 税务总局公告2022年第4号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
675,675,增值税,改善民生,社会保障,残疾人专用物品免征增值税优惠,,免征,残疾人专用物品免征增值税优惠,,第二条,改善民生 增值税 残疾人专用物品免征增值税优惠,《财政部 国家税务总局关于增值税几个税收政策问题的通知》 财税字〔1994〕60号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
676,676,增值税,改善民生,社会保障,托儿所、幼儿园提供的育养服务免征增值税优惠,,免征,托儿所、幼儿园提供的育养服务免征增值税优惠,,第二十四条第（七）项,改善民生 增值税 托儿所、幼儿园提供的育养服务免征增值税优惠,《中华人民共和国增值税法》中华人民共和国主席令第四十一号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
677,677,增值税,改善民生,社会保障,养老机构提供的育养服务免征增值税优惠,,免征,养老机构提供的育养服务免征增值税优惠,,第二十四条第（七）项,养老机构提供的育养服务免征增值税优惠 改善民生 增值税,《中华人民共和国增值税法》中华人民共和国主席令第四十一号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
678,678,增值税,改善民生,社会保障,残疾人服务机构提供的育养服务免征增值税优惠,,免征,残疾人服务机构提供的育养服务免征增值税优惠,,第二十四条第（七）项,残疾人服务机构提供的育养服务免征增值税优惠 改善民生 增值税,《中华人民共和国增值税法》中华人民共和国主席令第四十一号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
679,679,增值税,改善民生,社会保障,婚姻介绍服务免征增值税优惠,,免征,婚姻介绍服务免征增值税优惠,,第二十四条第（七）项,改善民生 增值税 婚姻介绍服务免征增值税优惠,《中华人民共和国增值税法》中华人民共和国主席令第四十一号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
680,680,增值税,改善民生,社会保障,殡葬服务免征增值税优惠,,免征,殡葬服务免征增值税优惠,,第二十四条第（七）项,改善民生 殡葬服务免征增值税优惠 增值税,《中华人民共和国增值税法》中华人民共和国主席令第四十一号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
681,681,增值税,改善民生,社会保障,住房公积金管理中心用住房公积金在指定的委托银行发放的个人住房贷款取得的利息收入免征增值税优惠,,免征,住房公积金管理中心用住房公积金在指定的委托银行发放的个人住房贷款取得的利息收入免征增值税优惠,,附件3第一条第（十九）款第5项,改善民生 住房公积金管理中心用住房公积金在指定的委托银行发放的个人住房贷款取得的利息收入免征增值税优惠 增值税,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
682,682,增值税,改善民生,社会保障,家政服务企业由员工制家政服务员提供家政服务取得的收入免征增值税优惠,,免征,家政服务企业由员工制家政服务员提供家政服务取得的收入免征增值税优惠,,附件3第一条第（三十一）款,改善民生 增值税 家政服务企业由员工制家政服务员提供家政服务取得的收入免征增值税优惠,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
683,683,增值税,改善民生,社会保障,残疾人员本人为社会提供的服务免征增值税优惠,,免征,残疾人员本人为社会提供的服务免征增值税优惠,,附件3第一条第（六）款,改善民生 增值税 残疾人员本人为社会提供的服务免征增值税优惠,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
684,684,增值税,改善民生,社会保障,安置残疾人就业增值税即征即退,,即征即退,安置残疾人就业增值税即征即退,,第一、三条,改善民生 增值税 安置残疾人就业增值税即征即退,《财政部 国家税务总局关于促进残疾人就业增值税政策的通知》 财税〔2016〕52号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
685,685,增值税,改善民生,社会保障,残疾人个人提供的服务免征增值税优惠,,免征,残疾人个人提供的服务免征增值税优惠,,第二十四条第（六）项,改善民生 残疾人个人提供的服务免征增值税优惠 增值税,《中华人民共和国增值税法》中华人民共和国主席令第四十一号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
686,686,增值税,改善民生,社会保障,社保基金会、社保基金投资管理人在运用社保基金投资过程中，提供贷款服务取得的利息收入和金融商品转让收入，免征增值税,,免征,社保基金会、社保基金投资管理人在运用社保基金投资过程中，提供贷款服务取得的利息收入和金融商品转让收入，免征增值税,,第一条,改善民生 增值税 社保基金会、社保基金投资管理人在运用社保基金投资过程中，提供贷款服务取得的利息收入和金融商品转让收入，免征增值税,《财政部 税务总局关于全国社会保障基金有关投资业务税收政策的通知》 财税〔2018〕94号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
687,687,增值税,改善民生,社会保障,社保基金会、养老基金投资管理机构运用养老基金投资过程中，提供贷款服务取得的利息收入和金融商品转让收入，免征增值税,,免征,社保基金会、养老基金投资管理机构运用养老基金投资过程中，提供贷款服务取得的利息收入和金融商品转让收入，免征增值税,,第一条,社保基金会、养老基金投资管理机构运用养老基金投资过程中，提供贷款服务取得的利息收入和金融商品转让收入，免征增值税 改善民生 增值税,《财政部 税务总局关于基本养老保险基金有关投资业务税收政策的通知》 财税〔2018〕95号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
688,688,增值税,改善民生,社会保障,社区养老服务免征增值税优惠,,免征,社区养老服务免征增值税优惠,,第一条第（一）款,改善民生 增值税 社区养老服务免征增值税优惠,《财政部 税务总局 国家发展改革委 民政部 商务部 国家卫生健康委关于延续实施养老、托育、家政等社区家庭服务业税费优惠政策的公告》财政部 税务总局 国家发展改革委 民政部 商务部 国家卫生健康委公告2026年第7号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
689,689,增值税,改善民生,社会保障,社区托育服务免征增值税优惠,,免征,社区托育服务免征增值税优惠,,第一条第（一）款,社区托育服务免征增值税优惠 改善民生 增值税,《财政部 税务总局 国家发展改革委 民政部 商务部 国家卫生健康委关于延续实施养老、托育、家政等社区家庭服务业税费优惠政策的公告》财政部 税务总局 国家发展改革委 民政部 商务部 国家卫生健康委公告2026年第7号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
690,690,增值税,改善民生,社会保障,社区家政服务免征增值税优惠,,免征,社区家政服务免征增值税优惠,,第一条第（一）款,改善民生 社区家政服务免征增值税优惠 增值税,《财政部 税务总局 国家发展改革委 民政部 商务部 国家卫生健康委关于延续实施养老、托育、家政等社区家庭服务业税费优惠政策的公告》财政部 税务总局 国家发展改革委 民政部 商务部 国家卫生健康委公告2026年第7号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
691,691,增值税,改善民生,社会保障,符合条件的家政服务企业提供家政服务取得的收入免征增值税,,免征,符合条件的家政服务企业提供家政服务取得的收入免征增值税,,第五条,符合条件的家政服务企业提供家政服务取得的收入免征增值税 改善民生 增值税,《财政部 税务总局 国家发展改革委 民政部 商务部 国家卫生健康委关于延续实施养老、托育、家政等社区家庭服务业税费优惠政策的公告》财政部 税务总局 国家发展改革委 民政部 商务部 国家卫生健康委公告2026年第7号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
692,692,增值税,改善民生,再就业扶持,脱贫人口从事个体经营扣减增值税,,免征,脱贫人口从事个体经营扣减增值税,,第一条,脱贫人口从事个体经营扣减增值税 改善民生 增值税,《财政部 税务总局 人力资源社会保障部 农业农村部关于进一步支持重点群体创业就业有关税收政策的公告》 财政部 税务总局 人力资源社会保障部 农业农村部公告2023年第15号；关联条款：《财政部 税务总局 人力资源社会保障部 国家乡村振兴局关于延长部分扶贫税收优惠政策执行期限的公告》 财政部 税务总局 人力资源社会保障部 国家乡村振兴局公告2021年第18号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
693,693,增值税,改善民生,再就业扶持,登记失业半年以上人员，零就业家庭、享受城市低保登记失业人员，毕业年度内高校毕业生从事个体经营扣减增值税,,免征,登记失业半年以上人员，零就业家庭、享受城市低保登记失业人员，毕业年度内高校毕业生从事个体经营扣减增值税,,第一条,改善民生 登记失业半年以上人员，零就业家庭、享受城市低保登记失业人员，毕业年度内高校毕业生从事个体经营扣减增值税 增值税,《财政部 税务总局 人力资源社会保障部 农业农村部关于进一步支持重点群体创业就业有关税收政策的公告》 财政部 税务总局 人力资源社会保障部 农业农村部公告2023年第15号；关联条款：《财政部 税务总局 人力资源社会保障部 国家乡村振兴局关于延长部分扶贫税收优惠政策执行期限的公告》 财政部 税务总局 人力资源社会保障部 国家乡村振兴局公告2021年第18号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
694,694,增值税,改善民生,再就业扶持,企业招用脱贫人口就业扣减增值税,,免征,企业招用脱贫人口就业扣减增值税,,第二条,企业招用脱贫人口就业扣减增值税 改善民生 增值税,《财政部 税务总局 人力资源社会保障部 农业农村部关于进一步支持重点群体创业就业有关税收政策的公告》 财政部 税务总局 人力资源社会保障部 农业农村部公告2023年第15号；关联条款：《财政部 税务总局 人力资源社会保障部 国家乡村振兴局关于延长部分扶贫税收优惠政策执行期限的公告》 财政部 税务总局 人力资源社会保障部 国家乡村振兴局公告2021年第18号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
695,695,增值税,改善民生,再就业扶持,企业招用登记失业半年以上人员扣减增值税,,免征,企业招用登记失业半年以上人员扣减增值税,,第二条,企业招用登记失业半年以上人员扣减增值税 改善民生 增值税,《财政部 税务总局 人力资源社会保障部 农业农村部关于进一步支持重点群体创业就业有关税收政策的公告》 财政部 税务总局 人力资源社会保障部 农业农村部公告2023年第15号；关联条款：《财政部 税务总局 人力资源社会保障部 国家乡村振兴局关于延长部分扶贫税收优惠政策执行期限的公告》 财政部 税务总局 人力资源社会保障部 国家乡村振兴局公告2021年第18号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
696,696,增值税,改善民生,其他,粮食免征增值税优惠,,免征,粮食免征增值税优惠,,第一条,改善民生 增值税 粮食免征增值税优惠,《财政部 国家税务总局关于粮食企业增值税征免问题的通知》 财税字〔1999〕198号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
697,697,增值税,改善民生,其他,储备大豆免征增值税优惠,,免征,储备大豆免征增值税优惠,,,改善民生 储备大豆免征增值税优惠 增值税,《财政部 国家税务总局关于免征储备大豆增值税政策的通知》 财税〔2014〕38号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
698,698,增值税,改善民生,其他,政府储备食用植物油免征增值税优惠,,免征,政府储备食用植物油免征增值税优惠,,第三条,改善民生 增值税 政府储备食用植物油免征增值税优惠,《财政部 国家税务总局关于粮食企业增值税征免问题的通知》 财税字〔1999〕198号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
699,699,增值税,改善民生,其他,福利彩票、体育彩票的发行收入免征增值税优惠,,免征,福利彩票、体育彩票的发行收入免征增值税优惠,,附件3第一条第（三十二）款,改善民生 增值税 福利彩票、体育彩票的发行收入免征增值税优惠,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
700,700,增值税,改善民生,其他,涉及家庭财产分割的个人无偿转让不动产、土地使用权免征增值税优惠,,免征,涉及家庭财产分割的个人无偿转让不动产、土地使用权免征增值税优惠,,附件3第一条第（三十六）款,涉及家庭财产分割的个人无偿转让不动产、土地使用权免征增值税优惠 改善民生 增值税,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
701,701,增值税,改善民生,其他,边销茶免征增值税优惠,,免征,边销茶免征增值税优惠,,第一条,边销茶免征增值税优惠 改善民生 增值税,《财政部 税务总局关于延续实施边销茶增值税政策的公告》 财政部 税务总局公告2023年第59号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
702,702,增值税,鼓励高新技术,技术转让,技术转让、技术开发免征增值税优惠,,免征,技术转让、技术开发免征增值税优惠,,附件3第一条第（二十六）款,技术转让、技术开发免征增值税优惠 鼓励高新技术 增值税,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
703,703,增值税,鼓励高新技术,科技发展,科技企业孵化器、大学科技园和众创空间孵化服务免征增值税,,免征,科技企业孵化器、大学科技园和众创空间孵化服务免征增值税,,第一条,科技企业孵化器、大学科技园和众创空间孵化服务免征增值税 鼓励高新技术 增值税,《财政部 税务总局 科技部 教育部关于继续实施科技企业孵化器、大学科技园和众创空间有关税收政策的公告》 财政部 税务总局 科技部 教育部公告2023年第42号；关联条款：《财政部 税务总局关于延长部分税收优惠政策执行期限的公告》  财政部 税务总局公告2022年第4号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
704,704,增值税,鼓励高新技术,自主创新,软件产品增值税即征即退,,即征即退,软件产品增值税即征即退,,,鼓励高新技术 增值税 软件产品增值税即征即退,《财政部 国家税务总局关于软件产品增值税政策的通知》 财税〔2011〕100号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
705,705,增值税,促进区域发展,两岸交流,台湾航运公司、航空公司从事海峡两岸海上直航、空中直航业务在大陆取得的运输收入免征增值税优惠,,免征,台湾航运公司、航空公司从事海峡两岸海上直航、空中直航业务在大陆取得的运输收入免征增值税优惠,,附件3第一条第（十七）款,增值税 促进区域发展 台湾航运公司、航空公司从事海峡两岸海上直航、空中直航业务在大陆取得的运输收入免征增值税优惠,《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》 财税〔2016〕36号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
706,706,增值税,促进区域发展,其他,横琴、平潭企业销售货物免征增值税优惠,,免征,横琴、平潭企业销售货物免征增值税优惠,,第二条,横琴、平潭企业销售货物免征增值税优惠 增值税 促进区域发展,《财政部 海关总署 国家税务总局关于横琴 平潭开发有关增值税和消费税政策的通知》 财税〔2014〕51号,,,,,,有效,,,,,,减免税政策代码目录20260218,1,,2026-02-18 04:29:40,2026-02-18 04:29:40,
